Glycine dehydrogenase (decarboxylating)	1_4_4_2	NP_613061.1	0	glycine dehydrogenase (decarboxylating), mitochondrial precursor [Mus musculus]
Glycine hydroxymethyltransferase	2_1_2_1	XP_006532707.1	1.7e-291	PREDICTED: serine hydroxymethyltransferase, cytosolic isoform X1 [Mus musculus]
Glycine hydroxymethyltransferase	2_1_2_1	NP_033197.2	1.7e-291	serine hydroxymethyltransferase, cytosolic [Mus musculus]
Glycine hydroxymethyltransferase	2_1_2_1	NP_001239245.1	6.7e-287	serine hydroxymethyltransferase, mitochondrial isoform 2 [Mus musculus]
Glycine hydroxymethyltransferase	2_1_2_1	NP_082506.1	6.8e-287	serine hydroxymethyltransferase, mitochondrial isoform 1 [Mus musculus]
Glycine C-acetyltransferase	2_3_1_29	NP_038875.3	2e-225	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial isoform a [Mus musculus]
Glycine C-acetyltransferase	2_3_1_29	NP_001155184.1	2e-197	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial isoform b [Mus musculus]
5-aminolevulinic acid synthase	2_3_1_37	NP_001095916.1	8.9e-272	5-aminolevulinate synthase, erythroid-specific, mitochondrial isoform b [Mus musculus]
5-aminolevulinic acid synthase	2_3_1_37	NP_033783.1	9.6e-272	5-aminolevulinate synthase, erythroid-specific, mitochondrial isoform a [Mus musculus]
5-aminolevulinic acid synthase	2_3_1_37	NP_001278764.1	2.3e-271	5-aminolevulinate synthase, nonspecific, mitochondrial precursor [Mus musculus]
5-aminolevulinic acid synthase	2_3_1_37	NP_065584.2	2.3e-271	5-aminolevulinate synthase, nonspecific, mitochondrial precursor [Mus musculus]
Serine C-palmitoyltransferase	2_3_1_50_a	NP_033295.2	1.1e-238	serine palmitoyltransferase 1 [Mus musculus]
Serine C-palmitoyltransferase	2_3_1_50_a	XP_006516990.1	4e-134	PREDICTED: serine palmitoyltransferase 1 isoform X1 [Mus musculus]
Serine C-palmitoyltransferase	2_3_1_50_b	NP_035609.1	1.1e-299	serine palmitoyltransferase 2 [Mus musculus]
Serine C-palmitoyltransferase	2_3_1_50_b	XP_006499358.1	4e-226	PREDICTED: serine palmitoyltransferase 3 isoform X1 [Mus musculus]
Serine C-palmitoyltransferase	2_3_1_50_b	NP_780676.1	4e-226	serine palmitoyltransferase 3 [Mus musculus]
Phosphorylase	2_4_1_1	NP_035354.1	0	glycogen phosphorylase, muscle form [Mus musculus]
Phosphorylase	2_4_1_1	NP_722476.1	0	glycogen phosphorylase, brain form [Mus musculus]
Phosphorylase	2_4_1_1	NP_573461.2	0	glycogen phosphorylase, liver form [Mus musculus]
Ornithine--oxo-acid aminotransferase	2_6_1_13_a	NP_058674.1	1.7e-265	ornithine aminotransferase, mitochondrial precursor [Mus musculus]
4-aminobutyrate aminotransferase	2_6_1_19_a	NP_766549.2	0	4-aminobutyrate aminotransferase, mitochondrial isoform 1 precursor [Mus musculus]
